id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,lic,q,length,time,date,uploaded,rmk,bird-seen,playback-used
413609,Accipiter,hiogaster,griseogularis,Variable Goshawk,Frank Lambert,Indonesia,north of Weda Resort; Central Halmahera; North Maluku (approx location),0.4582,127.8824,120,call,//www.xeno-canto.org/413609,//www.xeno-canto.org/413609/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:26,15:23,2017-08-16,2018-05-04,,yes,no
409495,Accipiter,hiogaster,,Variable Goshawk,Ross Gallardy,Indonesia,Kota Waisai; Kabupaten Raja Ampat; Papua Barat,-0.4174,130.7739,30,call,//www.xeno-canto.org/409495,//www.xeno-canto.org/409495/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:07,08:00,2017-09-07,2018-04-06,,yes,no
389513,Accipiter,hiogaster,,Variable Goshawk,Oscar Campbell,Indonesia,south of Kisol seminary,-8.8291,120.6767,220,call; juvenile,//www.xeno-canto.org/389513,//www.xeno-canto.org/389513/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:03,06:30,2017-07-17,2017-10-13,Calling from tree by shrine on edge of forest. Call shortened by c25% to remove distracting background noise at very start.,yes,no
366115,Accipiter,hiogaster,griseogularis,Variable Goshawk,Brian Cox,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,40,call,//www.xeno-canto.org/366115,//www.xeno-canto.org/366115/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,18:30,2016-10-09,2017-04-24,Calling from palm tree at dusk.,yes,no
350952,Accipiter,hiogaster,sylvestris,Variable Goshawk,Raf Drijvers,Indonesia,Mausambi -  near Maurole; Kabupaten Ende; Nusa Tenggara Timur,-8.5308,121.8007,?,call,//www.xeno-canto.org/350952,//www.xeno-canto.org/350952/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,1:06,?,1998-09-03,2017-01-17,Some treatments maintain "Tenggara Goshawk" as monotypic species based on size. (more genetic; vocal and morphological research required).  [p.174; Birds of the Indonesian archipelago].,unknown,unknown
350951,Accipiter,hiogaster,sylvestris,Variable Goshawk,Raf Drijvers,Indonesia,Mausambi -  near Maurole; Kabupaten Ende; Nusa Tenggara Timur,-8.5308,121.8007,?,call,//www.xeno-canto.org/350951,//www.xeno-canto.org/350951/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:40,?,1998-09-03,2017-01-17,Some treatments maintain "Tenggara Goshawk" as monotypic species based on size. (more genetic; vocal and morphological research required).  [p.174; Birds of the Indonesian archipelago].,unknown,unknown
350950,Accipiter,hiogaster,sylvestris,Variable Goshawk,Raf Drijvers,Indonesia,Mausambi -  near Maurole; Kabupaten Ende; Nusa Tenggara Timur,-8.5308,121.8007,?,call,//www.xeno-canto.org/350950,//www.xeno-canto.org/350950/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:43,?,1998-09-03,2017-01-17,Some treatments maintain "Tenggara Goshawk" as monotypic species based on size. (more genetic; vocal and morphological research required).  [p.174; Birds of the Indonesian archipelago].,unknown,unknown
350949,Accipiter,hiogaster,sylvestris,Variable Goshawk,Raf Drijvers,Indonesia,Mausambi -  near Maurole; Kabupaten Ende; Nusa Tenggara Timur,-8.5308,121.8007,?,call,//www.xeno-canto.org/350949,//www.xeno-canto.org/350949/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,?,1998-09-03,2017-01-17,Some treatments maintain "Tenggara Goshawk" as monotypic species based on size. (more genetic; vocal and morphological research required).  [p.174; Birds of the Indonesian archipelago].,unknown,unknown
350948,Accipiter,hiogaster,sylvestris,Variable Goshawk,Raf Drijvers,Indonesia,Mausambi -  near Maurole; Kabupaten Ende; Nusa Tenggara Timur,-8.5308,121.8007,?,call,//www.xeno-canto.org/350948,//www.xeno-canto.org/350948/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:17,?,1998-09-03,2017-01-17,Some treatments maintain "Tenggara Goshawk" as monotypic species based on size. (more genetic; vocal and morphological research required).  [p.174; Birds of the Indonesian archipelago].,unknown,unknown
293235,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,80,call,//www.xeno-canto.org/293235,//www.xeno-canto.org/293235/download,//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:48,09:30,2015-10-25,2015-12-02,,no,no
